Restaurants Name,price,category,address,website,rating,total ratings,day,1 AM,1 AM status,2 AM,2 AM status,3 AM,3 AM status,4 AM,4 AM status,5 AM,5 AM status,6 AM,6 AM status,7 AM,7 AM status,8 AM,8 AM status,9 AM,9 AM status,10 AM,10 AM status,11 AM,11 AM status,12 PM,12 PM status,1 PM,1 PM status,2 PM,2 PM status,3 PM,3 PM status,4 PM,4 PM status,5 PM,5 PM status,6 PM,6 PM status,7 PM,7 PM status,8 PM,8 PM stauts,9 PM,9 PM status,10 PM,10 PM status,11 PM,11 PM status,12 AM,12 AM status
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Usually not busy,10,Usually not busy,15,Usually not busy,17,Usually not too busy,15,Usually not busy,10,Usually not busy,8,Usually not busy,15,Usually not busy,25,Usually not too busy,38,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,Usually not busy,12,Usually not busy,15,Usually not busy,17,Usually not too busy,15,Usually not busy,12,Usually not busy,10,Usually not busy,5,Usually not busy,10,Usually not busy,38,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Usually not too busy,32,Usually not too busy,40,Usually a little busy,38,Usually not too busy,32,Usually not too busy,30,Usually not too busy,32,Usually not too busy,30,Usually not too busy,25,Usually not too busy,27,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Thursday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Usually not busy,2,Usually not busy,2,Usually not busy,15,Usually not busy,20,Usually not too busy,12,Usually not busy,8,Usually not busy,12,Usually not busy,27,Usually not too busy,42,Usually a little busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Friday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Usually not too busy,25,Usually not too busy,40,Usually a little busy,35,Usually not too busy,17,Usually not too busy,10,Usually not busy,15,Usually not busy,23,Usually not too busy,30,Usually not too busy,32,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Saturday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Usually not busy,15,Usually not busy,32,Usually not too busy,57,Usually a little busy,72,Usually as busy as it gets,75,Usually as busy as it gets,62,Usually as busy as it gets,39,Usually a little busy,19,Usually not too busy,4,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanuri Snack,$,Korean restaurant,"3051 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.3,23,Sunday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Usually not busy,32,Usually not too busy,38,Usually a little busy,23,Usually not too busy,15,Usually not too busy,15,Usually not too busy,17,Usually not too busy,44,Usually a little busy,69,Usually as busy as it gets,19,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Usually not busy,20,Usually not too busy,26,Usually not too busy,17,Usually not too busy,14,Usually not busy,18,Usually not too busy,15,Usually not too busy,18,Usually not too busy,44,Usually a little busy,14,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,Usually not too busy,29,Usually not too busy,29,Usually not too busy,25,Usually not too busy,15,Usually not too busy,5,Usually not busy,11,Usually not busy,38,Usually not too busy,48,Usually a little busy,22,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Thursday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Usually not busy,12,Usually not busy,22,Usually not too busy,20,Usually not too busy,11,Usually not busy,8,Usually not busy,29,Usually not too busy,71,Usually as busy as it gets,75,Usually as busy as it gets,35,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Friday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,Usually not too busy,31,Usually not too busy,39,Usually a little busy,41,Usually a little busy,33,Usually not too busy,20,Usually not too busy,16,Usually not too busy,37,Usually not too busy,37,Usually not too busy,6,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Saturday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,Usually not too busy,53,Usually a little busy,44,Usually a little busy,29,Usually not too busy,20,Usually not too busy,14,Usually not busy,23,Usually not too busy,29,Usually not too busy,22,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJ Noodles,N/A,Restaurant,"4121 Pennsylvania Ave, Glendale, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.4,95,Sunday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Usually not busy,35,Usually not too busy,50,Usually a little busy,27,Usually not too busy,10,Usually not busy,12,Usually not busy,20,Usually not too busy,25,Usually not too busy,20,Usually not too busy,20,Usually not too busy,10,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,Usually not too busy,41,Usually a little busy,41,Usually a little busy,20,Usually not too busy,14,Usually not busy,17,Usually not too busy,20,Usually not too busy,20,Usually not too busy,17,Usually not too busy,12,Usually not busy,6,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,Usually not busy,33,Usually not too busy,56,Usually a little busy,44,Usually a little busy,20,Usually not too busy,12,Usually not busy,12,Usually not busy,14,Usually not busy,23,Usually not too busy,23,Usually not too busy,8,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Thursday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,Usually not busy,33,Usually not too busy,52,Usually a little busy,41,Usually a little busy,19,Usually not too busy,8,Usually not busy,19,Usually not too busy,38,Usually not too busy,33,Usually not too busy,12,Usually not busy,2,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Friday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,Usually not busy,50,Usually a little busy,75,Usually as busy as it gets,47,Usually a little busy,17,Usually not too busy,12,Usually not busy,20,Usually not too busy,31,Usually not too busy,35,Usually not too busy,31,Usually not too busy,20,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Saturday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Usually not busy,33,Usually not too busy,51,Usually a little busy,35,Usually not too busy,16,Usually not too busy,16,Usually not too busy,16,Usually not too busy,9,Usually not busy,8,Usually not busy,18,Usually not too busy,20,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taqueria Los Padilla,$,Mexican restaurant,"3437 Foothill Blvd, La Crescenta, CA 91214","https://www.google.com/search?q=restaurants+near+me&npsic=0&rflfq=1&rlha=0&rllag=34217638,-118238355,1702&tbm=lcl&ved=2ahUKEwjs8PKTipPiAhUEKa0KHRsuAK4QjGp6BAgLEFE&tbs=lrf:!2m1!1e2!2m1!1e5!2m1!1e3!3sIAEqAlVT,lf:1,lf_ui:9&rldoc=1#",4.6,137,Sunday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,Usually a little busy,53,Usually a little busy,43,Usually a little busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,Usually as busy as it gets,75,Usually as busy as it gets,35,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,Usually not busy,11,Usually not busy,17,Usually not too busy,21,Usually not too busy,17,Usually not too busy,17,Usually not too busy,29,Usually not too busy,39,Usually a little busy,25,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Thursday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,Usually not too busy,24,Usually not too busy,10,Usually not busy,10,Usually not busy,17,Usually not too busy,21,Usually not too busy,28,Usually not too busy,28,Usually not too busy,24,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Friday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Usually a little busy,57,Usually a little busy,46,Usually a little busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Saturday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cafe Lanka,N/A,Sri Lankan restaurant,"3436A Foothill Blvd, Glendale, CA 91214",https://www.facebook.com/cafelanka/app_117784394919914,4.4,68,Sunday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy's Restaurant,N/A,Breakfast restaurant,"3009 Honolulu Ave, Glendale, CA 91214",https://m.facebook.com/Jeremyscoffeeshop/,4.6,238,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Usually not busy,13,Usually not busy,29,Usually not too busy,39,Usually a little busy,32,Usually not too busy,20,Usually not too busy,21,Usually not too busy,26,Usually not too busy,17,Usually not too busy,5,Usually not busy,1,Usually not busy,6,Usually not busy,8,Usually not busy,2,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy's Restaurant,N/A,Breakfast restaurant,"3009 Honolulu Ave, Glendale, CA 91214",https://m.facebook.com/Jeremyscoffeeshop/,4.6,238,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Usually not busy,29,Usually not too busy,27,Usually not too busy,18,Usually not too busy,21,Usually not too busy,22,Usually not too busy,15,Usually not too busy,8,Usually not busy,4,Usually not busy,3,Usually not busy,2,Usually not busy,2,Usually not busy,1,Usually not busy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
